rp,population,rp_start,rp_end,cont_enrollment,age_grp,gender,state,lob,plantyp,datasource,mm
PRIOR,B.O.B,4/1/2017,3/31/2018,1,0-17,2,OK,COMMERCIAL,Non-Cap POS,IBM-CCAE,6225
CURRENT,IP,4/1/2018,3/31/2019,0,55-64,1,SD,COMMERCIAL,Unknown,IBM-CCAE,36
PRIOR,B.O.B,4/1/2017,3/31/2018,0,65 AND OLDER,1,MI,COMMERCIAL,CDHP/HDHP,IBM-MDCR,436
PRIOR,B.O.B,4/1/2017,3/31/2018,0,65 AND OLDER,1,DE,COMMERCIAL,Others,IBM-CCAE,53
CURRENT,IP,4/1/2018,3/31/2019,1,45-54,1,ME,COMMERCIAL,Non-Cap POS,IBM-CCAE,16
PRIOR,IP,4/1/2017,3/31/2018,1,35-44,2,IA,COMMERCIAL,CDHP/HDHP,IBM-CCAE,95
CURRENT,IP,4/1/2018,3/31/2019,1,18-34,2,OR,COMMERCIAL,PPO,IBM-CCAE,698
CURRENT,B.O.B,4/1/2018,3/31/2019,1,35-44,F,EAST NORTH CENTRAL,COM,OTH,OPTUM-SES,605
PRIOR,B.O.B,4/1/2017,3/31/2018,0,18-34,2,CO,COMMERCIAL,PPO,IBM-CCAE,82236
CURRENT,B.O.B,4/1/2018,3/31/2019,1,55-64,1,GA,COMMERCIAL,CDHP/HDHP,IBM-CCAE,46158
CURRENT,B.O.B,4/1/2018,3/31/2019,0,18-34,M,UNKNOWN,COM,IND,OPTUM-SES,116
PRIOR,IP,4/1/2017,3/31/2018,1,35-44,1,MA,COMMERCIAL,CDHP/HDHP,IBM-CCAE,156
CURRENT,IP,4/1/2018,3/31/2019,1,55-64,1,MN,COMMERCIAL,Unknown,IBM-CCAE,152
PRIOR,B.O.B,4/1/2017,3/31/2018,1,55-64,M,PACIFIC,COM,EPO,OPTUM-SES,6756
PRIOR,B.O.B,4/1/2017,3/31/2018,1,45-54,1,NV,COMMERCIAL,CDHP/HDHP,IBM-CCAE,13811
CURRENT,B.O.B,4/1/2018,3/31/2019,1,0-17,2,UT,COMMERCIAL,Non-Cap POS,IBM-CCAE,2347
CURRENT,B.O.B,4/1/2018,3/31/2019,0,65 AND OLDER,F,WEST SOUTH CENTRAL,MCR,HMO,OPTUM-SES,19134
PRIOR,IP,4/1/2017,3/31/2018,1,65 AND OLDER,2,MS,COMMERCIAL,Non-Cap POS,IBM-MDCR,28
PRIOR,IP,4/1/2017,3/31/2018,1,18-34,2,TX,COMMERCIAL,Others,IBM-CCAE,127
CURRENT,IP,4/1/2018,3/31/2019,0,35-44,2,OK,COMMERCIAL,PPO,IBM-CCAE,209
CURRENT,B.O.B,4/1/2018,3/31/2019,1,55-64,2,UN,COMMERCIAL,CDHP/HDHP,IBM-MDCR,24
PRIOR,B.O.B,4/1/2017,3/31/2018,0,35-44,1,LA,COMMERCIAL,Others,IBM-CCAE,244
CURRENT,IP,4/1/2018,3/31/2019,1,65 AND OLDER,2,WY,COMMERCIAL,Unknown,IBM-CCAE,6
CURRENT,B.O.B,4/1/2018,3/31/2019,0,65 AND OLDER,1,ND,COMMERCIAL,PPO,IBM-MDCR,76
PRIOR,B.O.B,4/1/2017,3/31/2018,1,18-34,2,IL,COMMERCIAL,Others,IBM-CCAE,23234
CURRENT,B.O.B,4/1/2018,3/31/2019,1,0-17,1,MN,COMMERCIAL,Others,IBM-CCAE,537
PRIOR,IP,4/1/2017,3/31/2018,1,35-44,1,WY,COMMERCIAL,Non-Cap POS,IBM-CCAE,8
CURRENT,B.O.B,4/1/2018,3/31/2019,0,45-54,1,NC,COMMERCIAL,PPO,IBM-CCAE,42620
PRIOR,B.O.B,4/1/2017,3/31/2018,0,35-44,F,WEST SOUTH CENTRAL,COM,PPO,OPTUM-SES,3414
CURRENT,IP,4/1/2018,3/31/2019,0,65 AND OLDER,1,TX,COMMERCIAL,PPO,IBM-MDCR,76
PRIOR,B.O.B,4/1/2017,3/31/2018,0,35-44,1,WI,COMMERCIAL,Non-Cap POS,IBM-CCAE,977
CURRENT,IP,4/1/2018,3/31/2019,1,55-64,1,MN,COMMERCIAL,Others,IBM-CCAE,20
PRIOR,B.O.B,4/1/2017,3/31/2018,1,18-34,2,UN,COMMERCIAL,CDHP/HDHP,IBM-CCAE,530217
CURRENT,B.O.B,4/1/2018,3/31/2019,0,18-34,2,MI,COMMERCIAL,CDHP/HDHP,IBM-CCAE,21608
CURRENT,IP,4/1/2018,3/31/2019,1,65 AND OLDER,M,SOUTH ATLANTIC,MCR,POS,OPTUM-SES,5
PRIOR,B.O.B,4/1/2017,3/31/2018,1,45-54,1,AR,COMMERCIAL,Others,IBM-MDCR,12
CURRENT,IP,4/1/2018,3/31/2019,1,18-34,2,NJ,COMMERCIAL,HMO,IBM-CCAE,169
PRIOR,B.O.B,4/1/2017,3/31/2018,1,0-17,M,WEST NORTH CENTRAL,COM,EPO,OPTUM-SES,7664
PRIOR,IP,4/1/2017,3/31/2018,0,18-34,1,KS,COMMERCIAL,CDHP/HDHP,IBM-CCAE,9
CURRENT,IP,4/1/2018,3/31/2019,0,0-17,2,MI,COMMERCIAL,PPO,IBM-CCAE,45
PRIOR,IP,4/1/2017,3/31/2018,1,45-54,F,MOUNTAIN,MCR,OTH,OPTUM-SES,69
PRIOR,IP,4/1/2017,3/31/2018,0,35-44,2,MO,COMMERCIAL,PPO,IBM-CCAE,377
PRIOR,B.O.B,4/1/2017,3/31/2018,1,45-54,1,WA,COMMERCIAL,CDHP/HDHP,IBM-CCAE,49558
CURRENT,B.O.B,4/1/2018,3/31/2019,0,0-17,1,NJ,COMMERCIAL,Cap POS,IBM-CCAE,58
CURRENT,B.O.B,4/1/2018,3/31/2019,1,65 AND OLDER,2,DE,COMMERCIAL,Unknown,IBM-MDCR,131
PRIOR,B.O.B,4/1/2017,3/31/2018,0,55-64,1,UN,COMMERCIAL,HMO,IBM-CCAE,18218
CURRENT,B.O.B,4/1/2018,3/31/2019,1,65 AND OLDER,1,DC,COMMERCIAL,Others,IBM-CCAE,24
PRIOR,B.O.B,4/1/2017,3/31/2018,1,45-54,2,AK,COMMERCIAL,CDHP/HDHP,IBM-CCAE,2396
CURRENT,IP,4/1/2018,3/31/2019,1,0-17,2,CT,COMMERCIAL,PPO,IBM-CCAE,101
CURRENT,IP,4/1/2018,3/31/2019,0,65 AND OLDER,F,MOUNTAIN,COM,POS,OPTUM-SES,25
PRIOR,B.O.B,4/1/2017,3/31/2018,0,65 AND OLDER,2,AL,COMMERCIAL,HMO,IBM-CCAE,382
CURRENT,B.O.B,4/1/2018,3/31/2019,1,0-17,1,ME,COMMERCIAL,PPO,IBM-CCAE,9260
CURRENT,B.O.B,4/1/2018,3/31/2019,1,35-44,M,PACIFIC,COM,HMO,OPTUM-SES,4672
CURRENT,B.O.B,4/1/2018,3/31/2019,0,65 AND OLDER,2,CA,COMMERCIAL,Others,IBM-MDCR,48630
PRIOR,IP,4/1/2017,3/31/2018,0,45-54,2,WV,COMMERCIAL,CDHP/HDHP,IBM-CCAE,22
CURRENT,IP,4/1/2018,3/31/2019,1,65 AND OLDER,1,KS,COMMERCIAL,Others,IBM-CCAE,13
PRIOR,B.O.B,4/1/2017,3/31/2018,0,65 AND OLDER,2,OH,COMMERCIAL,CDHP/HDHP,IBM-MDCR,804
PRIOR,B.O.B,4/1/2017,3/31/2018,1,18-34,2,DC,COMMERCIAL,HMO,IBM-CCAE,1300
CURRENT,B.O.B,4/1/2018,3/31/2019,1,55-64,2,VT,COMMERCIAL,PPO,IBM-CCAE,6247
CURRENT,IP,4/1/2018,3/31/2019,0,65 AND OLDER,2,IN,COMMERCIAL,PPO,IBM-MDCR,92
CURRENT,IP,4/1/2018,3/31/2019,1,55-64,1,VA,COMMERCIAL,Unknown,IBM-CCAE,86
PRIOR,B.O.B,4/1/2017,3/31/2018,1,18-34,M,NEW ENGLAND,COM,HMO,OPTUM-SES,830
PRIOR,IP,4/1/2017,3/31/2018,1,55-64,2,NE,COMMERCIAL,PPO,IBM-CCAE,511
CURRENT,IP,4/1/2018,3/31/2019,0,65 AND OLDER,1,AZ,COMMERCIAL,Others,IBM-CCAE,1
CURRENT,IP,4/1/2018,3/31/2019,0,18-34,M,PACIFIC,MCR,HMO,OPTUM-SES,9
PRIOR,B.O.B,4/1/2017,3/31/2018,0,0-17,2,ME,COMMERCIAL,CDHP/HDHP,IBM-CCAE,2992
CURRENT,IP,4/1/2018,3/31/2019,1,18-34,1,TN,COMMERCIAL,CDHP/HDHP,IBM-CCAE,123
CURRENT,B.O.B,4/1/2018,3/31/2019,0,35-44,F,PACIFIC,COM,OTH,OPTUM-SES,10
CURRENT,B.O.B,4/1/2018,3/31/2019,0,65 AND OLDER,2,IA,COMMERCIAL,Non-Cap POS,IBM-MDCR,1582
PRIOR,IP,4/1/2017,3/31/2018,1,18-34,1,DC,COMMERCIAL,CDHP/HDHP,IBM-CCAE,38
CURRENT,B.O.B,4/1/2018,3/31/2019,0,35-44,2,MT,COMMERCIAL,PPO,IBM-CCAE,1035
PRIOR,B.O.B,4/1/2017,3/31/2018,1,65 AND OLDER,2,PA,COMMERCIAL,Others,IBM-CCAE,2778
CURRENT,IP,4/1/2018,3/31/2019,0,0-17,2,NJ,COMMERCIAL,PPO,IBM-CCAE,31
CURRENT,IP,4/1/2018,3/31/2019,0,35-44,1,NM,COMMERCIAL,Non-Cap POS,IBM-CCAE,2
PRIOR,B.O.B,4/1/2017,3/31/2018,0,45-54,2,MN,COMMERCIAL,Others,IBM-CCAE,209
CURRENT,B.O.B,4/1/2018,3/31/2019,0,55-64,2,NV,COMMERCIAL,PPO,IBM-CCAE,5531
PRIOR,IP,4/1/2017,3/31/2018,0,55-64,M,WEST NORTH CENTRAL,COM,OTH,OPTUM-SES,23
PRIOR,B.O.B,4/1/2017,3/31/2018,0,0-17,1,WA,COMMERCIAL,PPO,IBM-CCAE,109386
CURRENT,B.O.B,4/1/2018,3/31/2019,0,55-64,2,MI,COMMERCIAL,CDHP/HDHP,IBM-CCAE,7940
CURRENT,B.O.B,4/1/2018,3/31/2019,1,35-44,M,WEST NORTH CENTRAL,COM,IND,OPTUM-SES,9
PRIOR,B.O.B,4/1/2017,3/31/2018,0,65 AND OLDER,1,AK,COMMERCIAL,CDHP/HDHP,IBM-CCAE,68
CURRENT,B.O.B,4/1/2018,3/31/2019,0,35-44,2,CT,COMMERCIAL,Non-Cap POS,IBM-CCAE,568
CURRENT,B.O.B,4/1/2018,3/31/2019,1,0-17,M,EAST SOUTH CENTRAL,COM,OTH,OPTUM-SES,135
CURRENT,B.O.B,4/1/2018,3/31/2019,1,65 AND OLDER,2,NY,COMMERCIAL,PPO,IBM-MDCR,8910
PRIOR,IP,4/1/2017,3/31/2018,0,45-54,2,ME,COMMERCIAL,CDHP/HDHP,IBM-CCAE,15
CURRENT,B.O.B,4/1/2018,3/31/2019,1,65 AND OLDER,2,NM,COMMERCIAL,Unknown,IBM-CCAE,204
PRIOR,B.O.B,4/1/2017,3/31/2018,0,0-17,1,LA,COMMERCIAL,PPO,IBM-CCAE,129213
PRIOR,B.O.B,4/1/2017,3/31/2018,1,45-54,1,NE,COMMERCIAL,CDHP/HDHP,IBM-CCAE,10346
CURRENT,B.O.B,4/1/2018,3/31/2019,0,45-54,2,NC,COMMERCIAL,Unknown,IBM-CCAE,3438
PRIOR,B.O.B,4/1/2017,3/31/2018,1,65 AND OLDER,2,ME,COMMERCIAL,Unknown,IBM-MDCR,845
PRIOR,IP,4/1/2017,3/31/2018,0,65 AND OLDER,1,UN,COMMERCIAL,Non-Cap POS,IBM-CCAE,504
CURRENT,B.O.B,4/1/2018,3/31/2019,0,18-34,2,AZ,COMMERCIAL,HMO,IBM-CCAE,2364
PRIOR,B.O.B,4/1/2017,3/31/2018,0,45-54,1,OK,COMMERCIAL,Non-Cap POS,IBM-CCAE,1331
CURRENT,B.O.B,4/1/2018,3/31/2019,1,35-44,1,AZ,COMMERCIAL,Others,IBM-CCAE,240
CURRENT,IP,4/1/2018,3/31/2019,1,65 AND OLDER,F,MIDDLE ATLANTIC,MCR,HMO,OPTUM-SES,655
PRIOR,B.O.B,4/1/2017,3/31/2018,0,65 AND OLDER,1,TX,COMMERCIAL,Others,IBM-CCAE,1596
CURRENT,B.O.B,4/1/2018,3/31/2019,1,65 AND OLDER,2,KS,COMMERCIAL,HMO,IBM-CCAE,256
CURRENT,B.O.B,4/1/2018,3/31/2019,0,18-34,F,NEW ENGLAND,COM,HMO,OPTUM-SES,93
PRIOR,B.O.B,4/1/2017,3/31/2018,1,65 AND OLDER,2,IA,COMMERCIAL,Others,IBM-MDCR,36
PRIOR,B.O.B,4/1/2017,3/31/2018,1,65 AND OLDER,2,WI,COMMERCIAL,Non-Cap POS,IBM-CCAE,1271
CURRENT,B.O.B,4/1/2018,3/31/2019,1,18-34,2,MT,COMMERCIAL,CDHP/HDHP,IBM-CCAE,5617
PRIOR,IP,4/1/2017,3/31/2018,0,55-64,1,IL,COMMERCIAL,Others,IBM-CCAE,36
CURRENT,IP,4/1/2018,3/31/2019,1,55-64,1,WY,COMMERCIAL,Non-Cap POS,IBM-CCAE,17
CURRENT,B.O.B,4/1/2018,3/31/2019,1,45-54,M,UNKNOWN,COM,POS,OPTUM-SES,438395
PRIOR,B.O.B,4/1/2017,3/31/2018,1,55-64,2,WV,COMMERCIAL,Others,IBM-MDCR,12
PRIOR,B.O.B,4/1/2017,3/31/2018,1,45-54,1,CT,COMMERCIAL,Non-Cap POS,IBM-CCAE,6345
CURRENT,B.O.B,4/1/2018,3/31/2019,1,35-44,2,CO,COMMERCIAL,CDHP/HDHP,IBM-CCAE,62052
PRIOR,B.O.B,4/1/2017,3/31/2018,0,65 AND OLDER,1,CA,COMMERCIAL,CDHP/HDHP,IBM-MDCR,1592
CURRENT,B.O.B,4/1/2018,3/31/2019,0,45-54,1,PA,COMMERCIAL,HMO,IBM-CCAE,1823
PRIOR,B.O.B,4/1/2017,3/31/2018,1,35-44,F,SOUTH ATLANTIC,COM,POS,OPTUM-SES,176889
PRIOR,B.O.B,4/1/2017,3/31/2018,0,35-44,1,UT,COMMERCIAL,PPO,IBM-CCAE,13164
CURRENT,IP,4/1/2018,3/31/2019,0,65 AND OLDER,2,TX,COMMERCIAL,Cap POS,IBM-CCAE,6
CURRENT,B.O.B,4/1/2018,3/31/2019,1,18-34,M,SOUTH ATLANTIC,COM,POS,OPTUM-SES,122271
PRIOR,B.O.B,4/1/2017,3/31/2018,0,65 AND OLDER,2,ND,COMMERCIAL,CDHP/HDHP,IBM-MDCR,43
PRIOR,IP,4/1/2017,3/31/2018,0,35-44,1,GA,COMMERCIAL,CDHP/HDHP,IBM-CCAE,173
CURRENT,IP,4/1/2018,3/31/2019,1,65 AND OLDER,1,OH,COMMERCIAL,HMO,IBM-CCAE,110
PRIOR,B.O.B,4/1/2017,3/31/2018,1,45-54,1,AK,COMMERCIAL,CDHP/HDHP,IBM-CCAE,1143
CURRENT,B.O.B,4/1/2018,3/31/2019,0,18-34,1,OH,COMMERCIAL,CDHP/HDHP,IBM-CCAE,30994
CURRENT,B.O.B,4/1/2018,3/31/2019,1,65 AND OLDER,F,EAST SOUTH CENTRAL,MCR,OTH,OPTUM-SES,27507
PRIOR,B.O.B,4/1/2017,3/31/2018,0,18-34,1,CO,COMMERCIAL,Cap POS,IBM-CCAE,9
PRIOR,IP,4/1/2017,3/31/2018,0,65 AND OLDER,1,ME,COMMERCIAL,HMO,IBM-CCAE,13
CURRENT,IP,4/1/2018,3/31/2019,1,18-34,2,NH,COMMERCIAL,PPO,IBM-CCAE,166
PRIOR,B.O.B,4/1/2017,3/31/2018,1,35-44,1,GA,COMMERCIAL,Unknown,IBM-CCAE,1968
CURRENT,IP,4/1/2018,3/31/2019,1,0-17,2,DC,COMMERCIAL,Others,IBM-CCAE,2
CURRENT,IP,4/1/2018,3/31/2019,1,55-64,1,VT,COMMERCIAL,HMO,IBM-CCAE,3
CURRENT,IP,4/1/2018,3/31/2019,0,65 AND OLDER,2,AK,COMMERCIAL,PPO,IBM-MDCR,2
PRIOR,B.O.B,4/1/2017,3/31/2018,0,0-17,1,FL,COMMERCIAL,HMO,IBM-CCAE,23066
CURRENT,IP,4/1/2018,3/31/2019,1,55-64,2,DE,COMMERCIAL,CDHP/HDHP,IBM-CCAE,64
PRIOR,B.O.B,4/1/2017,3/31/2018,1,0-17,2,MI,COMMERCIAL,Non-Cap POS,IBM-CCAE,15570
CURRENT,IP,4/1/2018,3/31/2019,1,35-44,1,WV,COMMERCIAL,Others,IBM-CCAE,13
PRIOR,B.O.B,4/1/2017,3/31/2018,1,65 AND OLDER,M,PACIFIC,COM,HMO,OPTUM-SES,8471
CURRENT,B.O.B,4/1/2018,3/31/2019,0,65 AND OLDER,2,OH,COMMERCIAL,Others,IBM-MDCR,6506
PRIOR,IP,4/1/2017,3/31/2018,1,55-64,1,NC,COMMERCIAL,CDHP/HDHP,IBM-CCAE,1155
CURRENT,B.O.B,4/1/2018,3/31/2019,0,18-34,2,IA,COMMERCIAL,Non-Cap POS,IBM-CCAE,8990
CURRENT,B.O.B,4/1/2018,3/31/2019,1,65 AND OLDER,2,NM,COMMERCIAL,PPO,IBM-MDCR,2620
PRIOR,B.O.B,4/1/2017,3/31/2018,0,18-34,1,AR,COMMERCIAL,HMO,IBM-CCAE,905
CURRENT,B.O.B,4/1/2018,3/31/2019,0,65 AND OLDER,2,IN,COMMERCIAL,Non-Cap POS,IBM-CCAE,1016
CURRENT,B.O.B,4/1/2018,3/31/2019,0,65 AND OLDER,2,TN,COMMERCIAL,CDHP/HDHP,IBM-MDCR,88
PRIOR,B.O.B,4/1/2017,3/31/2018,0,55-64,2,NV,COMMERCIAL,Unknown,IBM-CCAE,1721
CURRENT,B.O.B,4/1/2018,3/31/2019,0,55-64,1,IA,COMMERCIAL,Non-Cap POS,IBM-CCAE,1832
PRIOR,B.O.B,4/1/2017,3/31/2018,0,45-54,2,NV,COMMERCIAL,CDHP/HDHP,IBM-CCAE,3819
CURRENT,IP,4/1/2018,3/31/2019,0,35-44,1,FL,COMMERCIAL,Others,IBM-CCAE,4
CURRENT,B.O.B,4/1/2018,3/31/2019,0,0-17,1,AL,COMMERCIAL,Others,IBM-CCAE,795
PRIOR,B.O.B,4/1/2017,3/31/2018,1,18-34,1,FL,COMMERCIAL,Others,IBM-CCAE,12026
CURRENT,IP,4/1/2018,3/31/2019,0,18-34,2,CA,COMMERCIAL,Non-Cap POS,IBM-CCAE,77
PRIOR,B.O.B,4/1/2017,3/31/2018,0,65 AND OLDER,F,UNKNOWN,MCR,POS,OPTUM-SES,1
PRIOR,IP,4/1/2017,3/31/2018,0,65 AND OLDER,2,PR,COMMERCIAL,CDHP/HDHP,IBM-MDCR,3
PRIOR,B.O.B,4/1/2017,3/31/2018,0,18-34,1,VT,COMMERCIAL,Cap POS,IBM-CCAE,14
CURRENT,IP,4/1/2018,3/31/2019,0,35-44,1,AZ,COMMERCIAL,CDHP/HDHP,IBM-CCAE,101
PRIOR,B.O.B,4/1/2017,3/31/2018,1,0-17,2,GA,COMMERCIAL,Non-Cap POS,IBM-CCAE,18140
CURRENT,B.O.B,4/1/2018,3/31/2019,1,45-54,2,ME,COMMERCIAL,Others,IBM-CCAE,54
PRIOR,B.O.B,4/1/2017,3/31/2018,1,18-34,M,MIDDLE ATLANTIC,MCR,PPO,OPTUM-SES,356
PRIOR,B.O.B,4/1/2017,3/31/2018,0,0-17,1,ND,COMMERCIAL,Unknown,IBM-CCAE,37
PRIOR,B.O.B,4/1/2017,3/31/2018,0,45-54,2,VA,COMMERCIAL,Cap POS,IBM-CCAE,11
CURRENT,IP,4/1/2018,3/31/2019,1,0-17,1,ID,COMMERCIAL,Others,IBM-CCAE,12
PRIOR,B.O.B,4/1/2017,3/31/2018,0,65 AND OLDER,2,GA,COMMERCIAL,CDHP/HDHP,IBM-MDCR,148
PRIOR,B.O.B,4/1/2017,3/31/2018,0,35-44,1,WA,COMMERCIAL,Unknown,IBM-CCAE,709
CURRENT,B.O.B,4/1/2018,3/31/2019,1,55-64,1,WY,COMMERCIAL,PPO,IBM-CCAE,6442
PRIOR,IP,4/1/2017,3/31/2018,1,55-64,2,WY,COMMERCIAL,CDHP/HDHP,IBM-CCAE,39
CURRENT,IP,4/1/2018,3/31/2019,1,18-34,1,IL,COMMERCIAL,Others,IBM-CCAE,16
PRIOR,IP,4/1/2017,3/31/2018,0,35-44,M,WEST NORTH CENTRAL,COM,PPO,OPTUM-SES,3
PRIOR,B.O.B,4/1/2017,3/31/2018,1,45-54,1,AZ,COMMERCIAL,HMO,IBM-CCAE,9227
CURRENT,IP,4/1/2018,3/31/2019,1,55-64,2,OH,COMMERCIAL,Others,IBM-CCAE,36
CURRENT,IP,4/1/2018,3/31/2019,1,45-54,1,NJ,COMMERCIAL,Others,IBM-CCAE,16
CURRENT,B.O.B,4/1/2018,3/31/2019,0,55-64,1,UN,COMMERCIAL,HMO,IBM-MDCR,7380
PRIOR,B.O.B,4/1/2017,3/31/2018,1,18-34,2,MS,COMMERCIAL,Others,IBM-CCAE,1437
CURRENT,IP,4/1/2018,3/31/2019,0,18-34,1,WI,COMMERCIAL,HMO,IBM-CCAE,135
PRIOR,B.O.B,4/1/2017,3/31/2018,1,45-54,1,UN,COMMERCIAL,Cap POS,IBM-CCAE,10
CURRENT,B.O.B,4/1/2018,3/31/2019,1,55-64,1,LA,COMMERCIAL,Others,IBM-CCAE,822
PRIOR,B.O.B,4/1/2017,3/31/2018,0,35-44,F,EAST NORTH CENTRAL,MCR,PPO,OPTUM-SES,4
PRIOR,B.O.B,4/1/2017,3/31/2018,1,55-64,1,PR,COMMERCIAL,Others,IBM-CCAE,132
PRIOR,B.O.B,4/1/2017,3/31/2018,1,35-44,2,PA,COMMERCIAL,Others,IBM-CCAE,3122
CURRENT,B.O.B,4/1/2018,3/31/2019,1,35-44,2,KY,COMMERCIAL,PPO,IBM-CCAE,97788
PRIOR,IP,4/1/2017,3/31/2018,1,0-17,2,MD,COMMERCIAL,PPO,IBM-CCAE,150
CURRENT,IP,4/1/2018,3/31/2019,0,45-54,2,NV,COMMERCIAL,HMO,IBM-CCAE,15
